date,type,address,city,zip,price,beds,baths,neighborhood,sqft,lotsize,year,hoa,url,mls,latitude,longitude
August-1-2019,condo,27 Wheeler St #219,Cambridge,02138,570000,1,1,Cambridge,644,,2007,280,http://www.redfin.com/MA/Cambridge/27-Wheeler-St-02138/unit-219/home/28439963,72512235,42.3891481,-71.1443056
August-1-2019,condo,51 Howard St #1,Cambridge,02139,775000,2,1,Riverside,900,,1910,182,http://www.redfin.com/MA/Cambridge/51-Howard-St-02139/unit-1/home/167111323,72521562,42.3656135,-71.1111028
August-1-2019,condo,20 Chestnut St #307,Cambridge,02139,912500,2,2,Cambridgeport,1069,,1991,472,http://www.redfin.com/MA/Cambridge/20-Chestnut-St-02139/unit-307/home/113009709,72491646,42.355444,-71.107399
August-1-2019,condo,992 Memorial Dr #406,Cambridge,02138,975000,1,1,Cambridge,861,,1900,509,http://www.redfin.com/MA/Cambridge/992-Memorial-Dr-02138/unit-406/home/11575122,72497548,42.3735563,-71.1262848
August-1-2019,condo,60 Pleasant St #2,Cambridge,02139,646666,2,1,Cambridge,915,,1925,340,http://www.redfin.com/MA/Cambridge/60-Pleasant-St-02139/unit-2/home/11561563,72526414,42.3630072,-71.1091562
August-1-2019,condo,9 Medford St #502,Somerville,02143,664000,1,1,Somerville,865,,1916,575,http://www.redfin.com/MA/Somerville/9-Medford-St-02143/unit-502/home/166770566,72504283,42.3742011,-71.0868252
August-1-2019,condo,169 Monsignor Obrien Hwy #413,Cambridge,02141,464000,0,1,East Cambridge,531,,1930,376,http://www.redfin.com/MA/Cambridge/169-Monsignor-O-Brien-Hwy-02141/unit-413/home/11600187,72515015,42.3718074,-71.0775304
August-1-2019,condo,37 Harrison St #1,Somerville,02143,922100,3,2.5,Inman Square,1612,2849,2018,200,http://www.redfin.com/MA/Somerville/37-Harrison-St-02143/unit-1/home/148434142,72496671,42.3821929,-71.1098109
August-1-2019,condo,19 Third #3,Cambridge,02141,522025,2,1,Cambridge,578,,1873,226,http://www.redfin.com/MA/Cambridge/19-Third-St-02141/unit-3/home/11599278,72504639,42.3721532,-71.07976
August-1-2019,condo,79 Tremont St #2,Cambridge,02139,569000,2,1,Inman Square,627,,1903,200,http://www.redfin.com/MA/Cambridge/79-Tremont-St-02139/unit-2/home/11596230,72507023,42.3727972,-71.0975471
August-1-2019,multifamily,292 Columbia St,Cambridge,02141,1750000,6,3,Cambridge,3900,3273,1894,,http://www.redfin.com/MA/Cambridge/292-Columbia-St-02141/home/11556772,72482089,42.3702143,-71.0957618
August-12-2019,condo,28 Donnell St Unit B,Cambridge,02138,1425000,3,2.5,Neighborhood 9,1975,,1970,,http://www.redfin.com/MA/Cambridge/28-Donnell-St-02138/unit-B/home/137208461,72509009,42.384545,-71.1315473
August-12-2019,condo,52 Cedar St #52,Cambridge,02140,1440000,4,3,Cambridge,2186,,2015,175,http://www.redfin.com/MA/Cambridge/52-Cedar-St-02140/unit-52/home/167047115,72513783,42.3946211,-71.1306127
August-12-2019,condo,31 Linnaean St #3,Cambridge,02138,970000,3,1,Cambridge,1374,,1880,1248,http://www.redfin.com/MA/Cambridge/31-Linnaean-St-02138/unit-3/home/11585478,72513629,42.3839726,-71.122853
